Y_real,Runge_Cutt,Adams,Errors_Runge_Cutta,Errors_Adams
0.0,0.0,0.0,0.0,0.0
0.0010010005001667086,0.00033367723440991953,-0.05337975946203607,0.000667323265756789,0.054380759962202777
0.00806425668403419,0.00268814722680464,-0.038965684847032035,0.00537610945722955,0.047029941531066224
0.027738930674614228,0.009246460123860057,-0.03239580942033923,0.01849247055075417,0.06013474009495346
0.06822991352073635,0.022743568946893264,-0.018877229149048075,0.04548634457384308,0.08710714266978442
0.1416435566333533,0.04721489714945734,0.005633072704562113,0.09442865948389595,0.13601048392879117
0.26807811386414526,0.08935978315395414,0.047851895199004665,0.1787183307101911,0.22022621866514058
0.4833448853407728,0.16111504695580936,0.11975518520007589,0.32222983838496344,0.3635897001406969
0.8543360563915097,0.2847770075779269,0.24372894743031887,0.5695590488135828,0.6106071089611909
1.5112217853462635,0.5037315019373615,0.4633731921677162,1.007490283408902,1.0478485931785473
