Y_real,Runge_Cutt,Adams,Errors_Runge_Cutta,Errors_Adams
1.0,1.0,1.0,0.0,0.0
0.9650529340717475,0.9650530245768341,0.9691162367369823,-9.050508653629663e-08,-0.0040633026652348025
0.9270713772824182,0.9270715389583997,0.9300973030423192,-1.6167598149152695e-07,-0.003025925759901016
0.8863088187307538,0.8863090389998047,0.8893350446534257,-2.2026905088790016e-07,-0.003026225922671877
0.8429796229101006,0.8429798933056245,0.8460060718038368,-2.7039552386032284e-07,-0.0030264488937361556
0.7972674459459178,0.7972677606004512,0.8002940660151329,-3.146545334287154e-07,-0.003026620069215058
0.7493313977356076,0.7493317524795379,0.7523581531759193,-3.5474393023093853e-07,-0.0030267554403116126
0.6993106577314367,0.6993110495361419,0.7023375231510551,-3.918047051243434e-07,-0.0030268654196183853
0.6473280010587286,0.6473284276816067,0.6503549580451237,-4.2662287813577393e-07,-0.003026956986395102
0.5934925387574834,0.5934929985093895,0.596519573695761,-4.597519061011468e-07,-0.0030270349382776063
