t  	||u||(t)    	e(t)
0.0        	0           		0
0.0        	0.2700000000000001           		0
0.0        	0.4800000000000001           		0
0.0        	0.63           		0
0.0        	0.7200000000000001           		0
0.0        	0.75           		0
0.0        	0.75           		0
0.0        	0.75           		0
0.0        	0.75           		0
0.0        	0.75           		0
0.0        	0.75           		0
0.1        	0           		0
0.1        	0.49667603405852945           		0
0.1        	0.6363129494373856           		0
0.1        	0.7189107461365686           		0
0.1        	0.7444694241560783           		0
0.1        	0.7444694241560783           		0.0003034037254502353
0.1        	0.7444694241560783           		0.06029126757643233
0.1        	0.7444694241560783           		0.12025485912937811
0.1        	0.7444694241560783           		0.1801941783842882
0.1        	0.7444694241560783           		0.24010922534116202
0.1        	0.7444694241560783           		0.24010922534116202
0.2        	0           		0
0.2        	0.6650946065538778           		0
0.2        	0.733706222965977           		0
0.2        	0.7439382893705584           		0
0.2        	0.7439382893705584           		0.12017866499159302
0.2        	0.7439382893705584           		0.12017866499159302
0.2        	0.7439382893705584           		0.12017866499159302
0.2        	0.7439382893705584           		0.23442360748032476
0.2        	0.7439382893705584           		0.3384354972146669
0.2        	0.7439382893705584           		0.3384354972146669
0.2        	0.7439382893705584           		0.3384354972146669
0.30000000000000004        	0           		0
0.30000000000000004        	0.7325452136106141           		0
0.30000000000000004        	0.7578364684998372           		0
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.30000000000000004        	0.7578364684998372           		0.3333757155431863
0.4        	0           		0
0.4        	0.7169707104938109           		0
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.4        	0.7169707104938109           		0.5623632279730406
0.5        	0           		0
0.5        	0.6409015233232795           		0
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.5        	0.6409015233232795           		0.5999600666806776
0.6000000000000001        	0           		0
0.6000000000000001        	0.514436269948982           		0
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.6000000000000001        	0.514436269948982           		0.5855832960656963
0.7000000000000001        	0           		0
0.7000000000000001        	0.3450233965849282           		0
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.7000000000000001        	0.3450233965849282           		0.5225139000934929
0.8        	0           		0
0.8        	0.14917362093359218           		0
0.8        	0.14917362093359218           		0.43369686525194
0.8        	0.14917362093359218           		0.4547984637119903
0.8        	0.14917362093359218           		0.5476463020518559
0.8        	0.14917362093359218           		0.6677695532308107
0.8        	0.14917362093359218           		0.6677695532308107
0.8        	0.14917362093359218           		0.6677695532308107
0.8        	0.14917362093359218           		0.6677695532308107
0.8        	0.14917362093359218           		0.6677695532308107
0.8        	0.14917362093359218           		0.6677695532308107
0.9        	0           		0
0.9        	0.03708433636471152           		0
0.9        	0.08281268201484464           		0
0.9        	0.08281268201484464           		0.5504870349112825
0.9        	0.08281268201484464           		0.7449183814251312
0.9        	0.08579873619419669           		0.7449183814251312
0.9        	0.08579873619419669           		0.7449183814251312
0.9        	0.08579873619419669           		0.7449183814251312
0.9        	0.08579873619419669           		0.7449183814251312
0.9        	0.08579873619419669           		0.7449183814251312
0.9        	0.08579873619419669           		0.7449183814251312
1.0        	0           		0
1.0        	0.15287389628375822           		0
1.0        	0.15287389628375822           		0.3938884865060754
1.0        	0.15287389628375822           		0.6763024916970468
1.0        	0.15287389628375822           		0.8246264034496813
1.0        	0.15287389628375822           		0.8246264034496813
1.0        	0.15287389628375822           		0.8246264034496813
1.0        	0.15287389628375822           		0.8246264034496813
1.0        	0.15287389628375822           		0.8246264034496813
1.0        	0.15287389628375822           		0.8246264034496813
1.0        	0.15287389628375822           		0.8246264034496813
1.1        	0           		0
1.1        	0.1435379979525233           		0
1.1        	0.1435379979525233           		0.4656484876114831
1.1        	0.1435379979525233           		0.7059612975515416
1.1        	0.1435379979525233           		0.7413153261340009
1.1        	0.1435379979525233           		0.7413153261340009
1.1        	0.1435379979525233           		0.7413153261340009
1.1        	0.1435379979525233           		0.7413153261340009
1.1        	0.1435379979525233           		0.7413153261340009
1.1        	0.1435379979525233           		0.7413153261340009
1.1        	0.1435379979525233           		0.7413153261340009
1.2000000000000002        	0           		0
1.2000000000000002        	0.030035496475778033           		0
1.2000000000000002        	0.08732494953499695           		0
1.2000000000000002        	0.08732494953499695           		0.5777139833441731
1.2000000000000002        	0.08732494953499695           		0.5781258122928403
1.2000000000000002        	0.08732494953499695           		0.5980527460503836
1.2000000000000002        	0.08732494953499695           		0.5980527460503836
1.2000000000000002        	0.08732494953499695           		0.5980527460503836
1.2000000000000002        	0.08732494953499695           		0.5980527460503836
1.2000000000000002        	0.08732494953499695           		0.5980527460503836
1.2000000000000002        	0.08732494953499695           		0.5980527460503836
1.3        	0           		0
1.3        	0.07454309776652643           		0
1.3        	0.07454309776652643           		0.34791393499388024
1.3        	0.07454309776652643           		0.3659733041082307
1.3        	0.07454309776652643           		0.41228458951042435
1.3        	0.07454309776652643           		0.44488138360345725
1.3        	0.07454309776652643           		0.44488138360345725
1.3        	0.07454309776652643           		0.44488138360345725
1.3        	0.07454309776652643           		0.44488138360345725
1.3        	0.07454309776652643           		0.44488138360345725
1.3        	0.07454309776652643           		0.44488138360345725
1.4000000000000001        	0           		0
1.4000000000000001        	0.07105684910359877           		0
1.4000000000000001        	0.07105684910359877           		0.13926222029437618
1.4000000000000001        	0.07105684910359877           		0.17116453545221644
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.4000000000000001        	0.07105684910359877           		0.2305510556526374
1.5        	0           		0
1.5        	0.01034256676843165           		0
1.5        	0.03878229482884903           		0
1.5        	0.03878229482884903           		0.0008787632481521052
1.5        	0.03878229482884903           		0.0008787632481521052
1.5        	0.03878229482884903           		0.0326483847739889
1.5        	0.03878229482884903           		0.03714116338876424
1.5        	0.03878229482884903           		0.03714116338876424
1.5        	0.03878229482884903           		0.03714116338876424
1.5        	0.03878229482884903           		0.03714116338876424
1.5        	0.03878229482884903           		0.03714116338876424
1.6        	0           		0
1.6        	0.055001762351302774           		0
1.6        	0.055001762351302774           		0.1578702257748322
1.6        	0.055001762351302774           		0.18988911859501678
1.6        	0.055001762351302774           		0.2526131497275906
1.6        	0.055001762351302774           		0.27175873032063014
1.6        	0.055001762351302774           		0.27175873032063014
1.6        	0.055001762351302774           		0.27175873032063014
1.6        	0.055001762351302774           		0.27175873032063014
1.6        	0.055001762351302774           		0.27175873032063014
1.6        	0.055001762351302774           		0.27175873032063014
1.7000000000000002        	0           		0
1.7000000000000002        	0.016959287273222302           		0
1.7000000000000002        	0.016959287273222302           		0.27030405392375256
1.7000000000000002        	0.02551036712048252           		0.27030405392375256
1.7000000000000002        	0.04726658114121203           		0.27030405392375256
1.7000000000000002        	0.04726658114121203           		0.4761654317744023
1.7000000000000002        	0.04726658114121203           		0.4761654317744023
1.7000000000000002        	0.04726658114121203           		0.4761654317744023
1.7000000000000002        	0.04726658114121203           		0.4761654317744023
1.7000000000000002        	0.04726658114121203           		0.4761654317744023
1.7000000000000002        	0.04726658114121203           		0.4761654317744023
1.8        	0           		0
1.8        	0.03654733292936462           		0
1.8        	0.03654733292936462           		0.39742802673087685
1.8        	0.05043911857692154           		0.39742802673087685
1.8        	0.05043911857692154           		0.6269787347389773
1.8        	0.05043911857692154           		0.6393832078739388
1.8        	0.05043911857692154           		0.6393832078739388
1.8        	0.05043911857692154           		0.6393832078739388
1.8        	0.05043911857692154           		0.6393832078739388
1.8        	0.05043911857692154           		0.6393832078739388
1.8        	0.05043911857692154           		0.6393832078739388
1.9000000000000001        	0           		0
1.9000000000000001        	0.0374765104783423           		0
1.9000000000000001        	0.0374765104783423           		0.4931616151805919
1.9000000000000001        	0.04876260397219015           		0.4931616151805919
1.9000000000000001        	0.04876260397219015           		0.7247647650668582
1.9000000000000001        	0.04876260397219015           		0.7452877964842441
1.9000000000000001        	0.04876260397219015           		0.7452877964842441
1.9000000000000001        	0.04876260397219015           		0.7452877964842441
1.9000000000000001        	0.04876260397219015           		0.7452877964842441
1.9000000000000001        	0.04876260397219015           		0.7452877964842441
1.9000000000000001        	0.04876260397219015           		0.7452877964842441
2.0        	0           		0
2.0        	0.004599337047495147           		0
2.0        	0.035781544169534496           		0
2.0        	0.038670790769964665           		0
2.0        	0.04083901933853906           		0
2.0        	0.04083901933853906           		0.7761362338342039
2.0        	0.04083901933853906           		0.7761362338342039
2.0        	0.04083901933853906           		0.7761362338342039
2.0        	0.04083901933853906           		0.7761362338342039
2.0        	0.04083901933853906           		0.7761362338342039
2.0        	0.04083901933853906           		0.7761362338342039
2.1        	0           		0
2.1        	0.0073978731757062335           		0
2.1        	0.019698235005493787           		0
2.1        	0.03684337779022634           		0
2.1        	0.037847006130777835           		0
2.1        	0.037847006130777835           		0.7278966407913533
2.1        	0.037847006130777835           		0.7278966407913533
2.1        	0.037847006130777835           		0.7278966407913533
2.1        	0.04551864573328022           		0.7278966407913533
2.1        	0.04551864573328022           		0.7278966407913533
2.1        	0.04551864573328022           		0.7278966407913533
2.2        	0           		0
2.2        	0.008462146047101311           		0
2.2        	0.01443394116475216           		0
2.2        	0.03608821346120767           		0
2.2        	0.03608821346120767           		0.6085138664286279
2.2        	0.03608821346120767           		0.6090930432266765
2.2        	0.03608821346120767           		0.6090930432266765
2.2        	0.040716142508174506           		0.6090930432266765
2.2        	0.046775829641525324           		0.6090930432266765
2.2        	0.046775829641525324           		0.6090930432266765
2.2        	0.046775829641525324           		0.6090930432266765
2.3000000000000003        	0           		0
2.3000000000000003        	0.01866124962736704           		0
2.3000000000000003        	0.01866124962736704           		0.3002898468813307
2.3000000000000003        	0.02575237033212042           		0.3002898468813307
2.3000000000000003        	0.02575237033212042           		0.43393129533499575
2.3000000000000003        	0.02575237033212042           		0.43393129533499575
2.3000000000000003        	0.028637205689988825           		0.43393129533499575
2.3000000000000003        	0.04247404862263949           		0.43393129533499575
2.3000000000000003        	0.043389427027829996           		0.43393129533499575
2.3000000000000003        	0.043389427027829996           		0.43393129533499575
2.3000000000000003        	0.043389427027829996           		0.43393129533499575
2.4000000000000004        	0           		0
2.4000000000000004        	0.00863333719030123           		0
2.4000000000000004        	0.01462563327988479           		0
2.4000000000000004        	0.01462563327988479           		0.20378739579402474
2.4000000000000004        	0.01462563327988479           		0.2195477627271549
2.4000000000000004        	0.018530976341452003           		0.2195477627271549
2.4000000000000004        	0.033408090572737234           		0.2195477627271549
2.4000000000000004        	0.039908027295248547           		0.2195477627271549
2.4000000000000004        	0.039908027295248547           		0.2195477627271549
2.4000000000000004        	0.039908027295248547           		0.2195477627271549
2.4000000000000004        	0.039908027295248547           		0.2195477627271549
