X[i],Y_real,Y_prediction,Error
1.2,-0.44906768988587176,-0.44910576545047626,3.807556460450057e-05
1.20003,-0.4489946583170538,-0.4490327356531547,3.807733610089459e-05
1.20006,-0.4489216232052769,-0.4489597023128515,3.807910757458455e-05
1.2000899999999999,-0.4488485845505934,-0.4488866654296183,3.808087902490431e-05
1.2001199999999999,-0.4487755423530545,-0.44881362500350686,3.8082650452353484e-05
1.20015,-0.44870249661271133,-0.4487405810345686,3.808442185726513e-05
1.20018,-0.44862944732961657,-0.44866753352285527,3.8086193238695554e-05
1.20021,-0.44855639450382084,-0.44859448246841843,3.808796459758845e-05
1.20024,-0.4484833381353768,-0.44852142787130966,3.808973593288911e-05
1.20027,-0.4484102782243351,-0.4484483697315806,3.809150724548571e-05
1.2003,-0.44833721477074795,-0.44837530804928283,3.809327853487865e-05
1.20033,-0.44826414777466667,-0.44830224282446796,3.809504980128997e-05
1.2003599999999999,-0.4481910772361423,-0.4482291740571875,3.8096821045163765e-05
1.2003899999999998,-0.44811800315522765,-0.44815610174749304,3.809859226538981e-05
1.20042,-0.4480449255319725,-0.44808302589543614,3.8100363463633435e-05
1.20045,-0.44797184436643045,-0.4480099465010684,3.810213463795176e-05
1.20048,-0.4478987596586516,-0.4479368635644414,3.810390578978806e-05
1.20051,-0.44782567140868795,-0.4478637770856067,3.810567691875377e-05
1.20054,-0.4477525796165911,-0.4477906870646159,3.810744802479338e-05
1.20057,-0.447679484282413,-0.4477175935015205,3.81092191075183e-05
1.2006,-0.44760638540620445,-0.4476444963963721,3.811099016765018e-05
1.2006299999999999,-0.4475332829880173,-0.4475713957492222,3.811276120491147e-05
1.20066,-0.4474601770279025,-0.44749829156012233,3.811453221985728e-05
1.20069,-0.4473870675259121,-0.44742518382912394,3.811630321182147e-05
1.20072,-0.4473139544820986,-0.4473520725562785,3.811807417991586e-05
1.20075,-0.4472408378965121,-0.44727895774163756,3.811984512547273e-05
1.20078,-0.4471677177692045,-0.44720583938525266,3.8121616048159e-05
1.20081,-0.4470945941002276,-0.44713271748717526,3.812338694764161e-05
1.20084,-0.44702146688963257,-0.44705959204745693,3.812515782436465e-05
1.2008699999999999,-0.4469483361374705,-0.44698646306614914,3.812692867866119e-05
1.2008999999999999,-0.4468752018437937,-0.44691333054330334,3.812869950964304e-05
1.20093,-0.44680206400865274,-0.446840194478971,3.8130470318253895e-05
1.20096,-0.44672892263209973,-0.4467670548732037,3.813224110393865e-05
1.20099,-0.4466557777141869,-0.44669391172605283,3.8134011865920137e-05
1.20102,-0.4465826292549646,-0.44662076503756987,3.813578260525308e-05
1.20105,-0.44650947725448364,-0.4465476148078063,3.813755332265911e-05
1.20108,-0.44643632171279723,-0.4464744610368136,3.8139324016361886e-05
1.20111,-0.4463631626299559,-0.44640130372464315,3.814109468724958e-05
1.2011399999999999,-0.4462900000060111,-0.4463281428713464,3.8142865335322185e-05
1.2011699999999998,-0.44621683384101407,-0.4462549784769749,3.8144635960801754e-05
1.2012,-0.4461436641350159,-0.4461818105415799,3.814640656402135e-05
1.20123,-0.4460704908880691,-0.446108639065213,3.8148177143870754e-05
1.20126,-0.44599731410022453,-0.4460354640479256,3.814994770107161e-05
1.20129,-0.4459241337715336,-0.445962285489769,3.8151718235401866e-05
1.20132,-0.4458509499020482,-0.44588910339079485,3.8153488746639486e-05
1.20135,-0.44577776249181894,-0.44581591775105434,3.815525923539509e-05
